geometry,name,lon,lat
POINT (100.44897845209067 13.752138723371857),Caltex เพชรพระเทพ,100.44897845209067,13.752138723371857
POINT (100.45195487330747 13.752459258985962),บางจาก,100.45195487330747,13.752459258985962
POINT (100.6497195499805 13.731748050005333),บางจาก,100.6497195499805,13.731748050005333
POINT (100.68866580957477 13.70145130531829),PTT,100.68866580957477,13.70145130531829
POINT (100.65837034167012 13.72418991385894),PT,100.65837034167012,13.72418991385894
POINT (100.44266305000062 13.751644949984604),PT,100.44266305000062,13.751644949984604
POINT (100.44200512518334 13.75156443607601),ป.ต.ท.,100.44200512518334,13.75156443607601
POINT (100.65838493815895 13.725191590286373),ป.ต.ท.,100.65838493815895,13.725191590286373
POINT (100.62637481828376 13.881151658961924),บางจาก,100.62637481828376,13.881151658961924
POINT (100.50443096632233 13.75060965262356),เชลล์,100.50443096632233,13.75060965262356
POINT (100.6885596609365 13.701264196359045),ป.ต.ท.,100.6885596609365,13.701264196359045
POINT (100.51527336677113 13.73993553366677),สยามแก๊ส,100.51527336677113,13.73993553366677
POINT (100.52031777523185 13.731280523778882),Shell Express,100.52031777523185,13.731280523778882
POINT (100.52250843652676 13.731143552720749),Caltex,100.52250843652676,13.731143552720749
POINT (100.66232906585948 13.769885286811908),ป.ต.ท. สาขารามคำแหง (ขาเข้า),100.66232906585948,13.769885286811908
POINT (100.66249226959415 13.769495975846525),ป.ต.ท.,100.66249226959415,13.769495975846525
POINT (100.64736836526095 13.84729705283559),ป.ต.ท.,100.64736836526095,13.84729705283559
POINT (100.62030085350108 13.810131473474739),ป.ต.ท.,100.62030085350108,13.810131473474739
POINT (100.54088276146716 13.69809788575778),Shell,100.54088276146716,13.69809788575778
POINT (100.53998419140505 13.714626421189596),ป.ต.ท.,100.53998419140505,13.714626421189596
POINT (100.53705917934525 13.723481271295434),เชลล์,100.53705917934525,13.723481271295434
POINT (100.64177736680314 13.858624045933912),บางจาก,100.64177736680314,13.858624045933912
POINT (100.40718407934831 13.678309813490952),PT,100.40718407934831,13.678309813490952
POINT (100.63293102708754 13.835597582690607),Caltex,100.63293102708754,13.835597582690607
POINT (100.54003948433586 13.72527764274908),Caltex,100.54003948433586,13.72527764274908
POINT (100.65081803167757 13.79557984660072),บางจาก,100.65081803167757,13.79557984660072
POINT (100.5582295589046 13.816656502742205),ป.ต.ท.,100.5582295589046,13.816656502742205
POINT (100.56101346003946 13.803238760391764),Susco,100.56101346003946,13.803238760391764
POINT (100.48766924999934 13.690801250037163),บางจาก,100.48766924999934,13.690801250037163
POINT (100.49913068894182 13.682834582317192),PTT,100.49913068894182,13.682834582317192
POINT (100.49917056987687 13.683391944634675),PTT,100.49917056987687,13.683391944634675
POINT (100.55280767046959 13.741822797286641),ป.ต.ท.,100.55280767046959,13.741822797286641
POINT (100.49238961975045 13.620765831552456),ป.ต.ท.,100.49238961975045,13.620765831552456
POINT (100.6165322096939 13.678265760353748),บางจาก อุดมสุข 189,100.6165322096939,13.678265760353748
POINT (100.62040147935475 13.662250907108895),PTT,100.62040147935475,13.662250907108895
POINT (100.42632605785874 13.687394882573681),บางจาก,100.42632605785874,13.687394882573681
POINT (100.44506647712475 13.666969469937984),ป.ต.ท.,100.44506647712475,13.666969469937984
POINT (100.46992615160623 13.670394778011831),บางจาก,100.46992615160623,13.670394778011831
POINT (100.41464538991242 13.64625716495034),Caltex,100.41464538991242,13.64625716495034
POINT (100.44192441503891 13.662025808374874),บางจาก,100.44192441503891,13.662025808374874
POINT (100.48381036574543 13.70051425555186),บางจาก,100.48381036574543,13.70051425555186
